Color    ag    bg    ar    br    ai    bi    az    bz    aJ    bJ    aH    bH    aK    bK
u-g    -0.221    0.485    -0.099    0.345    -0.053    0.268    -0.105    0.226    -0.128    0.169    -0.209    0.133    -0.260    0.123
u-r    -0.390    0.417    -0.223    0.299    -0.151    0.233    -0.178    0.192    -0.172    0.138    -0.237    0.104    -0.273    0.091
u-i    -0.375    0.359    -0.212    0.257    -0.144    0.201    -0.171    0.165    -0.169    0.119    -0.233    0.090    -0.267    0.077
u-z    -0.400    0.332    -0.232    0.239    -0.161    0.187    -0.179    0.151    -0.163    0.105    -0.205    0.071    -0.232    0.056
g-r    -0.499    1.519    -0.306    1.097    -0.222    0.864    -0.223    0.689    -0.172    0.444    -0.189    0.266    -0.209    0.197
g-i    -0.379    0.914    -0.220    0.661    -0.152    0.518    -0.175    0.421    -0.153    0.283    -0.186    0.179    -0.211    0.137
g-z    -0.367    0.698    -0.215    0.508    -0.153    0.402    -0.171    0.322    -0.097    0.175    -0.117    0.083    -0.138    0.047
r-i    -0.106    1.982    -0.022    1.431    0.006    1.114    -0.052    0.923    -0.079    0.650    -0.148    0.437    -0.186    0.349
r-z    -0.124    1.067    -0.041    0.780    -0.018    0.623    -0.041    0.463    -0.011    0.224    -0.059    0.076    -0.092    0.019

